Simple Custom CSS,simple-custom-css,simple-custom-css
TC Custom JavaScript,tc-custom-javascript,tc-custom-javascript
WP Markdown,wp-markdown,wp-markdown
User Access Manager,user-access-manager,user-access-manager
Advanced Custom Fields,advanced-custom-fields,advanced-custom-fields
Theme My Login,theme-my-login,theme-my-login
Mailchimp for WP,mailchimp-for-wp,mailchimp-for-wp
The Events Calendar,the-events-calendar,the-events-calendar
Hide Admin Bar From Non-admins,hide-admin-bar-from-non-admins,hide-admin-bar-from-non-admins
WP Splash Page,wp-splash-page,wp-splash-page
